seq1	lang1	label1
a stirring , funny and finally transporting re imagining of beauty and the beast and 1930s horror films	en	1
apparently re@@ assembled from the cutting room floor of any given daytime soap	en	0
they presu@@ me their audience wo n't sit still for a sociology lesson , however entertain@@ ingly presented , so they tro@@ t out the conventional science fiction elements of bug eyed monsters and futuri@@ stic women in sk@@ imp@@ y clothes	en	0
this is a visually stunning ru@@ min@@ ation on love , memory , history and the war between art and commerce	en	1
jonathan parker 's bar@@ tle@@ by should have been the be all end all of the modern office anom@@ ie films	en	1
camp@@ an@@ ella gets the tone just right funny in the middle of sad in the middle of hopeful	en	1
a fan film that for the un@@ initiated plays better on video with the sound turned down	en	0
b art and ber@@ ling are both superb , while hu@@ p@@ pert is magnificent	en	1
a little less extreme than in the past , with longer exposition sequences between them , and with fewer gag@@ s to break the te@@ dium	en	0
the film is strictly routine	en	0
a lyrical metaphor for cultural and personal self discovery and a pic@@ ar@@ esque view of a little remembered world	en	1
the most repu@@ gnant adaptation of a classic text since roland jo@@ ff and dem@@ i moore 's the scarlet letter	en	0
for something as splendid looking as this particular film , the viewer exp@@ ects something special but instead gets l@@ rb sci fi rr@@ b re@@ hash	en	0
this is a stunning film , a one of a kind tour de force	en	1
may be more gen@@ ial than ingen@@ ious , but it gets the job done	en	1
there is a freedom to watching stun@@ ts that are this crude , this fast paced and this insane	en	1
if the tu@@ x@@ edo actually were a suit , it would fit chan like a 99 bargain basement special	en	0
as quiet , patient and ten@@ acious as mr lopez himself , who approaches his difficult , endless work with remarkable seren@@ ity and discipline	en	1
final verdict you 've seen it all before	en	0
blue crush follows the formula , but throws in too many conflicts to keep the story compelling	en	0
you get a sense of good intentions der@@ ailed by a failure to seek and strike just the right tone	en	0
a slick , eng@@ ro@@ ssing melo@@ drama	en	1
a w@@ ret@@ ched movie that reduces the second world war to one man 's quest to find an old flame	en	0
will undoubtedly play well in european markets , where mr be@@ sson is a brand name , and in asia , where ms shu is an institution , but american audiences will probably find it familiar and in@@ sufficiently cathar@@ tic	en	0
lacks the inspiration of the original and has a blo@@ ated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience	en	0
the santa clause 2 proves itself a more stream@@ lined and thought out encounter than the original could ever have hoped to be	en	1
the film is moody , oo@@ zing , chil@@ ling and heart warming all at once a twisting , unpredictable , cat and mouse thriller	en	1
too bad	en	0
a strong first act and absolutely , in@@ escap@@ ably gorgeous , skyscraper tra@@ pe@@ ze motion of the amazing spider man	en	1
goo@@ ding offers a desperately ing@@ rati@@ ating performance	en	0
a well inten@@ tioned effort that 's still too bur@@ dened by the actor 's off@@ beat sensi@@ bilities for the earnest emotional core to emerge with any degree of accessi@@ bility	en	0
a fun ride	en	1
an ed@@ gy thriller that delivers a surprising punch	en	1
' what 's the russian word for wow !@@ ? '	en	1
otto sal@@ lies has a real filmmaker 's eye	en	1
lu@@ rid and less than luci@@ d work	en	0
with its parade of almost perpe@@ tually wasted characters margar@@ ita feels like a hazy high that takes too long to shake	en	0
i could just feel the screenwriter at every moment ' tap , tap , tap , tap , tapping away ' on this screenplay	en	0
overall , cle@@ tis tout is a winning comedy that exc@@ ites the imagination and tic@@ kles the funny bone	en	1
you live the mood rather than sav@@ our the story	en	1
the movie is so though@@ t@@ lessly assembled	en	1
some body is a shaky , uncertain film that nevertheless touches a few raw nerves	en	1
it 's a very sincere work , but it would be better as a diary or documentary	en	1
while american ad@@ ob@@ o has its heart l@@ rb and its pal@@ ate rr@@ b in the right place , its brain is a little scattered dit@@ sy , even	en	0
un@@ folds with such a wal@@ lop of you are there immedi@@ acy that when the bullets start to fly , your first instinct is to duck	en	1
and it 's a l@@ ousy one at that	en	0
it 's not too fast and not too slow	en	1
it 's an entertaining movie , and the effects , boo@@ sted to the size of a downtown hotel , will all but take you to outer space	en	1
it is as un@@ com@@ promising as it is non@@ judg@@ mental , and makes clear that a prostitute can be as lonely and needy as any of the clients	en	1
comp@@ ell@@ ingly watch@@ able	en	1
despite some comic sparks , welcome to col@@ lin@@ wood never catches fire	en	0
though jackson does n't always succeed in integrating the characters in the fore@@ ground into the extra@@ ordinarily rich landscape , it must be said that he is an imagin@@ ative filmmaker who can see the forest for the trees	en	1
not only does spider man deliver , but i suspect it might deliver again and again	en	1
it 's worth taking the kids to	en	1
without shakespeare 's elo@@ qu@@ ent language , the update is dre@@ ary and slu@@ gg@@ ish	en	0
dense , exhi@@ lar@@ ating documentary	en	1
feels as if l@@ rb there 's rr@@ b a choke le@@ ash around your neck so director nick cass@@ av@@ e@@ tes can give it a good , hard yank whenever he wants you to feel something	en	0
po@@ ign@@ ant if familiar story of a young person suspended between two cultures	en	1
metho@@ dical , measured , and gently te@@ dious in its comedy , secret ballot is a purpose@@ fully reduc@@ tive movie which may be why it 's so successful at lod@@ ging itself in the brain	en	1
though a touch too ar@@ thouse 101 in its poetic symbolism , heaven proves to be a good match of the sensi@@ bilities of two directors	en	1
super@@ bly photographed and staged by men@@ des with a series of ri@@ ve@@ ting set pieces the likes of which mainstream audiences have rarely seen	en	1
a metaphor for a modern day urban china searching for its identity	en	1
it 's a square , sentimental drama that satis@@ fies , as comfort food often can	en	1
the wonder@@ fully lush mor@@ vern cal@@ lar is pure punk exi@@ st@@ enti@@ alism , and ms ramsay and her co writer , li@@ ana do@@ gn@@ ini , have dramati@@ zed the alan warner novel , which itself felt like an answer to irvine welsh 's book train@@ spo@@ tting	en	1
admir@@ ers of director abel ferr@@ ara may be relieved that his latest feature , r x@@ mas , marks a modest if encouraging return to form	en	1
not once in the rush to save the day did i become very involved in the proceedings to me , it was just a matter of ' eh '	en	0
an ugly duc@@ kling tale so hide@@ ously and clum@@ si@@ ly told it feels accidental	en	0
becomes a bit of a mis@@ hm@@ ash a tear@@ jer@@ ker that does n't and a thriller that wo n't	en	0
could i have been more ge@@ eked when i heard that apollo 13 was going to be released in i@@ max format ?	en	1
this is a very ambitious project for a fairly in@@ experienced filmmaker , but good actors , good poetry and good music help sustain it	en	1
more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	en	0
cho 's timing is pric@@ eless	en	1
criminal conspir@@ acies and true roman@@ ces move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama	en	1
there 's something to be said for a studio produced film that never bo@@ thers to hand viewers a suitcase full of easy answers	en	1
what elev@@ ates the movie above the run of the mill singles blen@@ der is its surreal sense of humor and technological finish	en	1
nicholson 's under@@ stated performance is wonderful	en	1
the filmmakers know how to please the eye , but it is not always the pre@@ tti@@ est pictures that tell the best story	en	1
it 's unfortunate that wallace , who wrote gibson 's bra@@ ve@@ heart as well as the recent pearl harbor , has such an irre@@ pres@@ sible passion for sapp@@ y situations and dialogue	en	0
jackson sh@@ ame@@ fully stro@@ lls through this mess with a smug grin , in@@ explic@@ ably wearing a kil@@ t and carrying a bag of golf clubs over one shoulder	en	0
a fascinating curiosity piece fascinating , that is , for about ten minutes	en	0
over and over again	en	0
nolan proves that he can cross swords with the best of them and helm a more traditionally plo@@ tted pop@@ corn thriller while surren@@ dering little of his intellectual rig@@ or or creative composure	en	1
this bond film goes off the beaten path , not necessarily for the better	en	0
its solemn preten@@ sion prevents us from sharing the awe in which it holds itself	en	0
the drama disclo@@ ses almost nothing	en	0
a sham construct based on theory , sle@@ ight of hand , and ill wrought hypothesis	en	0
isabelle hu@@ p@@ pert exc@@ els as the enig@@ matic mi@@ ka and anna mou@@ gl@@ alis is a stunning new young talent in one of ch@@ ab@@ rol 's most intense psychological mysteries	en	1
like its parade of predecessors , this halloween is a g@@ ory slash fest	en	1
perhaps the best sports movie i 've ever seen	en	1
this pathetic junk is barely an hour long	en	0
ou 've got to love a disney pic with as little cle@@ av@@ age as this one has , and a heroine as fei@@ sty and princi@@ pled as jane	en	1
this is a gorgeous film vivid with color , music and life	en	1
playing a role of almost berg@@ man@@ esque intensity bis@@ set is both convincing and radi@@ ant	en	1
the tra@@ ppings of i spy are so familiar you might as well be watching a rer@@ un	en	0
it treats ana 's journey with honesty that is trag@@ ically rare in the depiction of young women in film	en	1
leigh makes these lives count	en	1
ambitious , un@@ settling psycho@@ drama that takes full , chil@@ ling advantage of its rough around the edges , low budget constraints	en	1
the wood@@ man seems to have directly influenced this girl meets girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so per@@ tin@@ ent and enduring	en	1
i could n't recommend this film more	en	1
an in@@ experienced director , meh@@ ta has much to learn	en	0
you can taste it , but there 's no fi@@ zz	en	0
a re@@ working of die hard and cli@@ ff@@ hang@@ er but it 's nowhere near as exciting as either	en	0
a moving tale of love and destruction in unexpected places , un@@ examined lives	en	1
it has more than a few moments that are insi@@ ght@@ ful enough to be fon@@ dly remembered in the end@@ lessly challenging maze of mo@@ vie@@ going	en	1
why ?	en	0
and that is where ar@@ arat went a@@ stray	en	0
vincent gall@@ o is right at home in this french shoc@@ ker playing his usual bad boy weir@@ do role	en	1
clock@@ stop@@ pers is one of those crazy , mixed up films that does n't know what it wants to be when it grows up	en	0
sandra bul@@ lock , despite down@@ playing her good looks , carries a little too much ai n't she cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff	en	0
it 's mostly a pleasure to watch	en	1
its spirit of icon@@ oc@@ l@@ astic abandon however can@@ ned makes for unexpectedly gi@@ ddy viewing	en	1
a kil@@ ted jackson is an un@@ settling sight , and indic@@ ative of his , if you will , out of kil@@ ter character , who ram@@ bles ai@@ m@@ lessly through ill conceived action pieces	en	0
i did n't find much fascination in the swinging	en	0
this is no " water@@ boy ! " 	en	0
but the nerve raked acting , the crack@@ le of lines , the impressive stag@@ ings of hardware , make for some robust and scary entertainment	en	1
baby faced ren@@ ner is e@@ eri@@ ly convincing as this bland blank of a man with un@@ imagin@@ able demons within	en	1
the kind of primal storytelling that george lucas can only dream of	en	1
up@@ lifting as only a document of the worst possibilities of mankind can be , and among the best films of the year	en	1
the ir@@ wins ' scenes are fascinating the movie as a whole is cheap junk and an insult to their death def@@ ying efforts	en	0
it 's a fri@@ ght@@ ful vanity film that , no doubt , pays off what debt mir@@ am@@ ax felt they owed to ben@@ ig@@ ni	en	0
he seems to want both , but succee@@ ds in making neither	en	0
by turns f@@ anci@@ ful , gri@@ sly and engag@@ ingly qui@@ x@@ otic	en	1
the re release of ron howard 's apollo 13 in the i@@ max format proves absolutely that really , really , really good things can come in enormous packages	en	1
i 've never seen l@@ rb a remake rr@@ b do anything as stomach turning as the way adam sand@@ ler 's new movie ra@@ pes , pill@@ ages and incin@@ er@@ ates frank cap@@ ra 's classic	en	0
those who want to be jol@@ ted out of their gour@@ d should drop everything and run to ichi	en	1
mr deeds is , as comedy goes , very silly and in the best way	en	1
this ami@@ able picture talks tough , but it 's all blu@@ ster in the end it 's as sweet as green@@ fingers	en	1
my little eye is the best little " horror " movie i 've seen in years	en	1
the movie is a negli@@ gible work of manipulation , an exploitation piece doing its usual worst to guilt trip parents	en	0
it may work as a ja@@ unt down memory lane for teens and young adults who grew up on televised scoo@@ by doo shows or rer@@ uns	en	1
suffers from a flat script and a low budget	en	0
the movie is well done , but slow	en	0
the master of disguise is awful	en	0
the film is one of the year 's best	en	1
one of the year 's most weir@@ dly engaging and unpredictable character pieces	en	1
the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why	en	0
the three leads produce adequate performances , but what 's missing from this material is any depth of feeling	en	0
 " looking for leonard " just seems to kinda sit in neutral , hoping for a stiff wind to blow it u@@ phi@@ ll or something	en	0
the most surprising thing about this film is that they are actually releasing it into theaters	en	0
one resurrection too many	en	0
oh , look at that clever angle !	en	1
no , i hate it	en	0
for a long time the film succee@@ ds with its dark , delicate treatment of these characters and its un@@ er@@ ring respect for them	en	1
the casting of raymond j barry as the ' assassin ' greatly enhan@@ ces the quality of neil burger 's impressive fake documentary	en	1
the film is like sitting in a downtown caf , over@@ hearing a bunch of typical late twenty some@@ things nat@@ ter on about nothing , and desperately wishing you could change tables	en	0
the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed	en	1
a rol@@ licking ride , with jaw dropping action sequences , striking villains , a gorgeous color pal@@ ette , ast@@ ounding technology , stirring music and a bo@@ ff@@ o last hour that leads up to a strangely sinister happy ending	en	1
an hour and a half of joy@@ ful solo performance	en	1
cont@@ ri@@ ved pas@@ tic@@ he of cap@@ er cli@@ ch s	en	0
a triumph , a film that he@@ ws out a world and carries us ef@@ fort@@ lessly from darkness to light	en	1
steven so@@ der@@ ber@@ gh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life	en	1
kin@@ near 's performance is a career defining revelation	en	1
not only a reminder of how they used to make movies , but also how they sometimes still can be made	en	1
the dragons are the real stars of reign of fire and you wo n't be disappointed	en	1
if you 're over 25 , have an i@@ q over 90 , and have a driver 's license , you should be able to find better entertainment	en	0
for devotees of french cinema , safe conduct is so rich with period minu@@ ti@@ ae it 's like dying and going to cel@@ lu@@ loid heaven	en	1
scher@@ fig , who has had a successful career in tv , tackles more than she can handle	en	0
this s@@ ade is hardly a per@@ verse , dangerous liber@@ tine and ag@@ it@@ ator which would have made for better drama	en	0
by the end of the movie , you 're definitely convinced that these women are spectacular	en	1
a plo@@ t@@ line that 's as lu@@ mpy as two day old por@@ ridge the filmmakers ' paws , sad to say , were all over this " un bear able " project !	en	0
the modern day royals have nothing on these guys when it comes to scand@@ als	en	0
essentially " fatal attraction " re@@ made for viewers who were in di@@ ap@@ ers when the original was released in 1987	en	0
it does n't really know or care about the characters , and uses them as markers for a series of pre@@ ordained events	en	0
' opening up ' the play more has partly closed it down	en	0
even though it 's common knowledge that park and his founding partner , y@@ ong kang , lost koz@@ mo in the end , you ca n't help but get caught up in the thrill of the company 's aston@@ ishing growth	en	1
lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rum@@ blings	en	0
every moment crack@@ les with tension , and by the end of the flick , you 're on the edge of your seat	en	1
the i@@ max screen enhan@@ ces the personal touch of manual animation	en	1
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stoc@@ kings	en	0
as pedestrian as they come	en	0
why , you may ask , why should you buy the movie milk when the tv cow is free ?	en	0
sunk by way too much indul@@ gence of scene chewing , teeth gn@@ ashing ac@@ tor@@ liness	en	0
that 's fun for kids of any age	en	1
ra@@ im@@ i and his team could n't have done any better in bringing the story of spider man to the big screen	en	1
a colorful , joy@@ ous celebration of life a tape@@ stry woven of romance , dancing , singing , and un@@ for@@ gett@@ able characters	en	1
a rip roaring comedy action fest that 'll put hairs on your chest	en	1
the premise of jason x is silly but strangely believ@@ able	en	1
the modern day characters are nowhere near as vivid as the 19th century ones	en	0
chelsea walls is a case of too many ch@@ efs fu@@ ssing over too weak a recipe	en	0
the cast keeps this pretty watch@@ able , and casting mick jag@@ ger as director of the escort service was inspired	en	1
l@@ rb the kid 's rr@@ b just too br@@ at@@ ty for sympathy , and as the film grows to its finale , his little changes ring hollow	en	0
contradic@@ ts everything we 've come to expect from movies nowadays	en	1
there is little question that this is a serious work by an important director who has something new to say about how , in the flip flo@@ p of court@@ ship , we often reel in when we should be playing out	en	1
the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seag@@ al	en	0
the solid film@@ making and convincing characters makes this a high water mark for this genre	en	1
the kind of movie that comes along only occasionally , one so un@@ conventional , gu@@ ts@@ y and perfectly executed it takes your breath away	en	1
with an admir@@ ably dark first script by brent han@@ ley , pa@@ xton , making his directorial feature debut , does strong , measured work	en	1
funny , som@@ ber , absurd , and , finally , ach@@ ingly sad , bar@@ tle@@ by is a fine , under@@ stated piece of film@@ making	en	1
every now and again , a movie comes along to remind us of how very bad a motion picture can truly be	en	0
unfortunately , there is almost nothing in this flat effort that will am@@ use or entertain them , either	en	0
sch@@ rad@@ er examines crane 's decline with un@@ blinking cand@@ or	en	1
that the e graveyard holds as many good ideas as bad is the cold comfort that chin 's film serves up with style and emp@@ athy	en	1
you would n't want to live way@@ downtown , but it is a hil@@ arious place to visit	en	1
the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process	en	1
there 's not one decent performance from the cast and not one clever line of dialogue	en	0
translation ' we do n't need to try very hard '	en	0
return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages	en	1
it sticks ri@@ gi@@ dly to the paradigm , rarely per@@ mitting its characters more than two obvious dimensions and repeatedly placing them in cont@@ ri@@ ved , well worn situations	en	0
caine makes us watch as his character awak@@ ens to the notion that to be human is eventually to have to choose	en	1
a cap@@ tiv@@ ating and intimate study about dying and loving	en	1
over@@ se@@ xed , at times over@@ wrought comedy drama that offers little insight into the experience of being forty , female and single	en	0
the world needs more filmmakers with passionate enthusi@@ as@@ ms like martin scor@@ se@@ se	en	1
the director seems to take an un@@ seem@@ ly pleasure in l@@ rb the characters ' rr@@ b misery and at the same time to congrat@@ ulate himself for having the guts to confront it	en	0
the history is fascinating the action is da@@ zzling	en	1
the unexpected thing is that its dying , in this shower of black and white psyched@@ elia , is quite beautiful	en	1
i also believe that resident evil is not it	en	0
offers a clear eyed chronicle of a female friendship that is more complex and honest than anything represented in a hollywood film	en	1
meeting , even exceeding expectations , it 's the best sequel since the empire strikes back a majestic achievement , an epic of aston@@ ishing gran@@ de@@ ur and surprising emotional depth	en	1
while general audiences might not come away with a greater knowledge of the facts of cuban music , they 'll be treated to an impressive and highly entertaining celebration of its sounds	en	1
not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season	en	1
may work as an addic@@ tive guilty pleasure but the material never over@@ comes its questionable satirical ambi@@ valence	en	0
death to smoo@@ chy tells a mol@@ dy ol@@ die , not nearly as nasty as it thinks it is joke	en	0
spiel@@ berg 's picture is smar@@ ter and sub@@ t@@ ler than l@@ rb total recall and blade runner rr@@ b , although its plot may prove too con@@ volu@@ ted for fun seeking summer audiences	en	1
